PIID,Est. Ultimate Completion Date,Date Signed,NAICS Code,NAICS Description,Product or Service Code,Product or Service Description,Principal Place of Performance City Name,Principal Place of Performance State Code,Place of Performance Zip Code,Contractor Name,Street,Vendor City,Vendor State,Zip,DUNS Number,Vendor Phone Number,Effective Date,Action Obligation
47QFNA18F0021,01/31/2023,01/26/2018,541330,ENGINEERING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,OFFUTT AFB,NE,68113-0003,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1710 SAIC DR,MCLEAN,VA,22102-3702,078883327,(703) 676-5681,02/01/2018,"$212,264.00"
47QFNA18F0021,01/31/2023,01/25/2019,541330,ENGINEERING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,RESTON,VA,20190-5856,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,12010 SUNSET HILLS RD,RESTON,VA,20190-5856,078883327,(703) 676-2178,02/01/2018,"$218,871.62"
47QFNA18F0039,04/15/2022,04/13/2018,541330,ENGINEERING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,WASHINGTON,DC,20002-7114,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1710 SAIC DR,MCLEAN,VA,22102-3702,078883327,(703) 676-5681,04/16/2018,"$3,000,000.00"
47QFNA18F0039,04/15/2022,09/24/2018,541330,ENGINEERING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,WASHINGTON,DC,20002-7114,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,12010 SUNSET HILLS RD,RESTON,VA,20190-5856,078883327,(703) 676-2178,04/16/2018,"$812,264.16"
47QFNA18F0056,06/30/2023,06/27/2018,541620,ENVIRONMENTAL CONSULTING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,GUNPOWDER,MD,21010-0004,"SIGNATURE SCIENCE, LLC",8329 N MOPAC EXPY,AUSTIN,TX,78759-8303,014269265,(512) 533-2019,07/01/2018,"$2,738,631.31"
47QFNA18F0071,08/12/2023,08/10/2018,541330,ENGINEERING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,RESTON,VA,20190-3200,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1710 SAIC DR,MCLEAN,VA,22102-3702,078883327,(703) 676-5681,08/13/2018,"$225,315.49"
47QFNA18F0102,09/23/2022,09/24/2018,541330,ENGINEERING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ROME,NY,13441-4000,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-3830,006928857,(703) 377-0667,09/24/2018,"$1,466,672.80"
47QFNA19F0016,12/18/2022,12/19/2018,541330,ENGINEERING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,WASHINGTON,DC,20001-2005,RAYTHEON COMPANY,22260 PACIFIC BLVD,DULLES,VA,20166-6916,053387429,(972) 205-7238,12/19/2018,"$2,452,379.60"
47QFNA19F0050,02/28/2022,05/17/2019,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ARLINGTON,VA,22202-0002,RIVERSIDE RESEARCH INSTITUTE,156 WILLIAM ST FL 9,NEW YORK,NY,10038-5325,046822615,,05/17/2019,"$27,330.97"
47QFNA19F0059,07/07/2024,07/09/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,3650,CHEMICAL AND PHARMACEUTICAL PRODUCTS MANUFACTURING MACHINERY,ARLINGTON,VA,22202-3829,TERATHINK CORPORATION,11710 PLAZA AMERICA DR STE 450,RESTON,VA,20190-4738,114921872,(703) 650-9751,07/08/2019,"$272,800.80"
47QFNA19F0064,07/28/2023,07/23/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ARLINGTON,VA,22202-3608,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,12010 SUNSET HILLS RD,RESTON,VA,20190-5856,078883327,(703) 676-5681,07/29/2019,"$377,573.11"
47QFNA19F0066,08/04/2022,07/31/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ROME,NY,13441-4732,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,12010 SUNSET HILLS RD,RESTON,VA,20190-5856,078883327,(703) 676-5681,08/05/2019,"$723,910.38"
47QFPA18F0049,08/31/2023,08/31/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,ARLINGTON,VA,22203-2161,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-4904,006928857,(703) 917-2337,09/01/2018,"$828,301.87"
47QFPA18F0073,09/24/2023,09/19/2018,541519,OTHER COMPUTER RELATED SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,ALEXANDRIA,VA,22350-9000,"FORRESTER RESEARCH, INC.",60 ACORN PARK DRIVE,CAMBRIDGE,MA,02140-2303,106765928,(703) 584-2636,09/25/2018,"$122,795.98"
47QFPA19F0013,03/14/2024,03/14/2019,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,WASHINGTON,DC,20004-1007,"KEYLOGIC SYSTEMS, INC.",3168 COLLINS FERRY RD,MORGANTOWN,WV,26505-3352,054303180,(443) 539-9062,03/15/2019,"$814,877.91"
47QFPA19F0043,01/12/2025,06/12/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,PEARL HARBOR,HI,96860-3101,NTT DATA SERVICES FEDERAL GOVERNMENT LLC,13880 DULLES CORNER LN STE 200,HERNDON,VA,20171-4686,175344753,(703) 485-8331,06/13/2019,"$4,830,917.88"
47QFPA19F0059,01/25/2025,07/24/2019,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,SPRINGFIELD,VA,22153-1301,"LEVEL 3 TELECOM HOLDINGS, LLC",10475 PARK MEADOWS DR,LITTLETON,CO,80124-5433,869502971,(303) 566-1852,07/26/2019,"$97,077.09"
47QFRA18F0007,09/30/2022,08/26/2018,561210,FACILITIES SUPPORT SERVICES,J099,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,SAN ANTONIO,TX,78226-1885,"J & J MAINTENANCE, INC.",7710 RIALTO BLVD SUITE 200,AUSTIN,TX,78735-8563,055124077,(512) 444-7271,08/26/2018,"-$199,753.71"
47QFRA18F0040,04/30/2023,04/19/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,R412,SUPPORT- PROFESSIONAL: SIMULATION,LUKE AFB,AZ,85309-1663,LOCKHEED MARTIN CORPORATION,9500 GODWIN DR,MANASSAS,VA,20110-4166,019710586,(703) 367-3221,05/01/2018,"$3,028,500.00"
47QFRA18F0048,07/12/2023,06/14/2018,541620,ENVIRONMENTAL CONSULTING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,,,,"VERSAR, INC",6850 VERSAR CTR STE 201,SPRINGFIELD,VA,22151-4176,066764747,(703) 642-6828,07/13/2018,"$1,220,458.68"
47QFRA18F0051,09/15/2023,07/23/2018,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,HILL AFB,UT,84056-1756,"LEIDOS, INC.",11951 FREEDOM DR,RESTON,VA,20190-5640,054781240,(571) 526-7028,09/16/2018,"$3,785,708.71"
47QFRA18F0051,09/15/2023,07/03/2019,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,HILL AFB,UT,84056-1358,"LEIDOS, INC.",11951 FREEDOM DRIVE,RESTON,VA,20190-5640,054781240,(571) 526-6000,09/16/2018,"$5,386,527.29"
47QFRA18F0052,08/14/2023,07/31/2018,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,JACKSONVILLE,FL,32228-0001,DYNCORP INTERNATIONAL LLC,6500 WEST FWY STE 600,FORT WORTH,TX,76116-2167,608461898,,08/15/2018,"$4,293,482.64"
47QFRA18F0057,07/31/2023,07/27/2018,561210,FACILITIES SUPPORT SERVICES,J099,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,SAN ANTONIO,TX,78226-1885,"FACILITY SERVICES MANAGEMENT, INC.",1031 PROGRESS DR,CLARKSVILLE,TN,37040-0000,884999491,(931) 552-7044,08/01/2018,"$34,970.22"
47QFRA18F0061,09/27/2023,09/26/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,CHARLOTTESVILLE,VA,22911-8318,NORTHROP GRUMMAN SYSTEMS CORPORATION,2340 DULLES CORNER BLVD,HERNDON,VA,20171-3400,078502520,(703) 713-4096,09/28/2018,"$698,571.10"
47QFRA18F0063,04/30/2023,09/19/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,R412,SUPPORT- PROFESSIONAL: SIMULATION,LUKE AFB,AZ,85309-1663,LOCKHEED MARTIN CORPORATION,9500 GODWIN DR,MANASSAS,VA,20110-4166,019710586,(703) 367-3221,09/19/2018,"$554,747.43"
47QFRA18F0071,09/25/2023,09/26/2018,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,CHARLOTTESVILLE,VA,22911-8318,BATTELLE MEMORIAL INSTITUTE,505 KING AVENUE,COLUMBUS,OH,43201-2696,007901598,(614) 424-6503,09/26/2018,"$1,699,545.00"
47QFRA19F0001,09/30/2022,10/01/2018,561210,FACILITIES SUPPORT SERVICES,J099,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,SAN ANTONIO,TX,78226-1885,KROESCHELL ENGINEERING CO. INC.,3222 N KENNICOTT AVE,ARLINGTON HEIGHTS,IL,60004-1428,007980006,(312) 649-7980,10/01/2018,"$1,796,483.80"
47QFRA19F0005,01/31/2024,01/29/2019,561210,FACILITIES SUPPORT SERVICES,J099,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,SAN ANTONIO,TX,78226-1885,"J & J MAINTENANCE, INC.",7710 RIALTO BLVD SUITE 200,AUSTIN,TX,78735-8563,055124077,(512) 444-7271,02/01/2019,"$755,000.00"
47QFRA19F0011,05/07/2024,05/03/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,WASHINGTON,DC,20405-0001,CACI INC FEDERAL,14151 PARK MEADOW DR,CHANTILLY,VA,20151-2218,114896066,(703) 679-4137,05/08/2019,"$11,995,131.73"
47QFRA19F0012,11/26/2023,05/09/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,HENDERSON,NV,89014-3812,"AGILE DEFENSE, INC.",11600 SUNRISE VALLEY DR STE 440,RESTON,VA,20191-1425,041054441,(571) 748-4455,05/24/2019,"$5,676,121.00"
47QFRA19F0014,06/19/2024,06/22/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",ARLINGTON,VA,22202-4148,CGI FEDERAL INC.,12601 FAIR LAKES CIR,FAIRFAX,VA,22033-4902,145969783,(703) 227-4868,06/20/2019,"$17,021,549.04"
47QFRA19F0015,03/23/2024,06/21/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ALEXANDRIA,VA,22314-3456,DELOITTE CONSULTING LLP,1919 N LYNN ST,ARLINGTON,VA,22209-1742,019121586,(571) 858-0176,06/24/2019,"$1,963,790.70"
47QFSA18A0001,12/31/2022,12/15/2017,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,ABERDEEN PROVING GROUND,MD,21005-0046,HEWLETT PACKARD ENTERPRISE COMPANY,13600 EDS DR,HERNDON,VA,20171-3299,079871820,(404) 774-1772,01/01/2018,"$2,909,696.03"
47QFSA18A0001,12/31/2022,03/13/2018,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,HERNDON,VA,20171-2559,HEWLETT PACKARD ENTERPRISE COMPANY,ONE DISCOVERY SQUARE 12010 SUNSET HILLS RD FL 3,RESTON,VA,00002-0190,079871820,(404) 648-0610,01/01/2018,$0.00
47QFSA18F0003,09/14/2022,10/25/2017,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",AZ14,R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT),PANAMA CITY,FL,32403-5319,BATTELLE MEMORIAL INSTITUTE,505 KING AVENUE,COLUMBUS,OH,43201-2696,007901598,(614) 424-6503,10/30/2017,"$1,803,278.69"
47QFSA18F0008,05/31/2023,11/30/2017,519190,ALL OTHER INFORMATION SERVICES,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,ATLANTA,GA,30329-4027,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",3211 JERMANTOWN RD,FAIRFAX,VA,22030-2844,067641597,(703) 995-8666,12/01/2017,"$3,627,464.40"
47QFSA18F0026,03/01/2022,02/15/2018,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,HUNTSVILLE,AL,35898-0002,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-3830,006928857,(703) 377-0667,03/02/2018,"$870,397.15"
47QFSA18F0040,10/15/2023,04/13/2018,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,HUNTSVILLE,AL,35806-3302,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1710 SAIC DR,MCLEAN,VA,22102-3702,078883327,(703) 676-5681,04/16/2018,"$5,236,129.91"
47QFSA18F0040,10/15/2023,09/04/2018,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,HUNTSVILLE,AL,35806-3302,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,12010 SUNSET HILLS RD,RESTON,VA,20190-5856,078883327,(703) 676-2178,04/16/2018,"$856,199.02"
47QFSA18F0065,07/16/2023,07/16/2018,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,TAMPA,FL,33621-5101,BATTELLE MEMORIAL INSTITUTE,505 KING AVENUE,COLUMBUS,OH,43201-2696,007901598,(614) 424-6503,07/17/2018,"$2,558,070.36"
47QFSA18F0073,03/21/2024,08/24/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,WASHINGTON,DC,20032-5422,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-4904,006928857,(703) 917-2337,09/22/2018,"$179,695.05"
47QFSA19F0017,01/11/2024,02/07/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,TAMPA,FL,33621-5323,ARMA GLOBAL CORPORATION,2701 N ROCKY POINT DR STE 1150,TAMPA,FL,33607-5556,825166528,(813) 532-8173,02/07/2019,"$2,805,363.92"
47QFSA19F0019,02/29/2024,02/13/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,FORT WALTON BEACH,FL,32547-0024,JACOBS TECHNOLOGY INC.,600 WILLIAM NORTHERN BLVD,TULLAHOMA,TN,37388-4729,007923014,(931) 393-6262,03/01/2019,"$2,185,961.54"
47QFSA19F0020,03/06/2024,02/14/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,TAMPA,FL,33621-5323,"CACI-WGI, INC.",302 KNIGHTS RUN AVE STE 950,TAMPA,FL,33602-5936,962349648,(703) 679-4137,03/07/2019,"$2,295,571.20"
47QFSA19F0022,08/10/2024,02/20/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,TAMPA,FL,33621-5323,JACOBS TECHNOLOGY INC.,5401 W KENNEDY BLVD STE 900,TAMPA,FL,33609-2467,030093764,(931) 393-6262,03/11/2019,"$3,477,958.59"
47QFSA19F0026,05/14/2024,03/12/2019,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,TAMPA,FL,33621-5323,ARMA GLOBAL CORPORATION,2701 N ROCKY POINT DR STE 1150,TAMPA,FL,33607-5556,825166528,(813) 532-8173,05/15/2019,"$4,543,970.54"
47QFSA19F0051,02/28/2025,06/19/2019,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",AD22,R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),HUNTSVILLE,AL,35898-0002,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-3830,006928857,(703) 377-0667,09/01/2019,"$2,000.00"
47QFSA19F0058,12/31/2024,07/11/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,D306,IT AND TELECOM- SYSTEMS ANALYSIS,LORTON,VA,22079-2624,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",3211 JERMANTOWN RD,FAIRFAX,VA,22030-2844,067641597,(703) 995-8666,07/11/2019,"$542,125.10"
47QFWA18C0008,09/30/2023,09/28/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,RANDOLPH AFB,TX,78150-4300,"L3 TECHNOLOGIES, INC.",2200 ARLINGTON DOWNS RD,ARLINGTON,TX,76011-6320,130788826,(817) 619-2622,09/30/2018,"$4,055,041.12"
47QFWA18F0001,09/11/2022,10/10/2017,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ABERDEEN PROVING GROUND,MD,21005-1728,"LEIDOS, INC.",11951 FREEDOM DR,RESTON,VA,20190-5640,054781240,(571) 526-7028,10/10/2017,"$1,074,244.53"
47QFWA18F0004,03/26/2023,01/04/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,D306,IT AND TELECOM- SYSTEMS ANALYSIS,FORT LEE,VA,23801-1800,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",2251 CORPORATE PARK DRIVE,HERNDON,VA,20171-4839,139627525,(703) 218-6421,03/27/2018,"$1,960,177.97"
47QFWA18F0017,09/30/2022,04/27/2018,541219,OTHER ACCOUNTING SERVICES,R704,SUPPORT- MANAGEMENT: AUDITING,SAN ANTONIO,TX,78226-1811,SERCO INC.,1818 LIBRARY ST STE 1000,RESTON,VA,20190-6276,928859149,(719) 235-4357,05/01/2018,"$1,154,197.48"
47QFWA18F0052,08/28/2023,08/27/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ABERDEEN PROVING GROUND,MD,21005-0006,CACI INC FEDERAL,14151 PARK MEADOW DR,CHANTILLY,VA,20151-2218,114896066,(703) 679-4137,08/29/2018,"$7,765,048.54"
47QFWA18F0059,09/16/2023,09/07/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,RANDOLPH AFB,TX,78150-4300,BOOZ ALLEN HAMILTON INC.,8283 GREENSBORO DR,MCLEAN,VA,22102-4904,006928857,(703) 917-2337,09/17/2018,"$3,886,043.90"
47QFWA18F0062,09/25/2023,09/13/2018,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",AC24,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT),WHITE SANDS MISSILE RANGE,NM,88002-5519,"DYNETICS, INC.",1002 EXPLORER BLVD,HUNTSVILLE,OH,35806-2806,075458455,(256) 964-4222,09/26/2018,"$97,563.41"
47QFWA18F0089,09/25/2023,09/25/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,RANDOLPH AFB,TX,78150-4419,AMERICAN SYSTEMS CORPORATION,14151 PARK MEADOW DR STE 500,CHANTILLY,VA,20151-4230,077799799,(703) 968-5225,09/26/2018,"$4,862,707.72"
47QPCA19F0005,06/04/2022,06/05/2019,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,WASHINGTON,DC,20066-0001,"TECHFLOW, INC.",9889 WILLOW CREEK RD STE 100,SAN DIEGO,CA,92131-1119,014125442,(858) 412-8204,06/05/2019,"$855,791.00"
47QPCA19F0007,07/02/2024,07/03/2019,611420,COMPUTER TRAINING,6150,MISCELLANEOUS ELECTRIC POWER AND DISTRIBUTION EQUIPMENT,WASHINGTON,DC,20405-0001,"EC AMERICA, INC.",8444 WESTPARK DR STE 200,MCLEAN,VA,22102-5112,017573259,(703) 752-0610,07/03/2019,"$32,652.63"
47QRAA18T0001,11/29/2031,03/19/2018,522110,COMMERCIAL BANKING,R710,SUPPORT- MANAGEMENT: FINANCIAL,ALEXANDRIA,VA,22311-1748,"CITIBANK, N.A.",701 E 60TH ST N,SIOUX FALLS,SD,57104-0432,054353644,(904) 954-9446,03/19/2018,$0.00
47QRAC18F0001,11/29/2022,05/10/2018,522110,COMMERCIAL BANKING,R710,SUPPORT- MANAGEMENT: FINANCIAL,MINNEAPOLIS,MN,55402-7000,U.S. BANCORP,800 NICOLLET MALL STE 1500,MINNEAPOLIS,MN,55402-7000,006213482,(202) 261-0807,05/10/2018,$0.00
47QRAC18F0003,11/29/2022,06/21/2018,522110,COMMERCIAL BANKING,R710,SUPPORT- MANAGEMENT: FINANCIAL,FALLS CHURCH,VA,22041-1664,U.S. BANCORP,800 NICOLLET MALL STE 1500,MINNEAPOLIS,MN,55402-7000,006213482,(202) 261-0807,06/21/2018,$0.00
47QRAC18F0004,11/29/2031,07/12/2018,522110,COMMERCIAL BANKING,R710,SUPPORT- MANAGEMENT: FINANCIAL,MECHANICSBURG,PA,17055-0791,U.S. BANCORP,800 NICOLLET MALL STE 1500,MINNEAPOLIS,MN,55402-7000,006213482,(202) 261-0807,07/12/2018,$0.00
47QSCC18F0008XF98,07/27/2023,07/26/2018,541512,COMPUTER SYSTEMS DESIGN SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,WASHINGTON,DC,20405-0001,INTERNATIONAL BUSINESS MACHINES CORPORATION,6710 ROCKLEDGE DR,BETHESDA,MD,20817-1826,835130485,(800) 333-6705,07/28/2018,"$6,259,161.00"
47QTCB19F0004,10/30/2023,02/26/2019,541512,COMPUTER SYSTEMS DESIGN SERVICES,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",WASHINGTON,DC,20405-0001,"SRA INTERNATIONAL, INC.",15036 CONFERENCE CENTER DR,CHANTILLY,VA,20151-3848,097779698,(703) 876-1243,03/01/2019,"$2,849,998.62"
47QTCD18F0075,03/31/2023,01/25/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CUMMING,GA,30028-3726,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,02/08/2018,"$7,604.24"
47QTCF18F0003,03/31/2023,10/02/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,MONROE,NC,28110-8332,"CORE TECHNOLOGIES, INC.",2979 PACIFIC DR STE B,NORCROSS,GA,30071-0000,843573713,(770) 935-4746,10/03/2017,"$11,338.54"
47QTCF18F0006,03/31/2023,10/18/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,ALBANY,GA,31701-3584,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,11/01/2017,"$8,973.00"
47QTCF18F0010,03/31/2023,10/26/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,MACON,GA,31201-0301,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,11/01/2017,"$8,973.20"
47QTCF18F0012,03/31/2023,11/09/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CHARLOTTE,NC,28208-1463,"WINDSTREAM COMMUNICATIONS, INC.",4001 N RODNEY PARHAM RD STE 202,LITTLE ROCK,AR,72212-2442,780994039,(501) 748-5839,11/14/2017,"$6,056.64"
47QTCF18F0013,03/31/2023,11/13/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,LAUDERDALE LAKES,FL,33313-7919,"WINDSTREAM COMMUNICATIONS, INC.",4001 N RODNEY PARHAM RD STE 202,LITTLE ROCK,AR,72212-2442,780994039,(501) 748-5839,11/17/2017,"$24,455.80"
47QTCF18F0014,03/31/2023,11/14/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,ORLANDO,FL,32827-6930,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,11/17/2017,"$8,336.50"
47QTCF18F00156,03/31/2023,08/30/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,BUCHANAN,TN,38222-0001,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,09/17/2018,"$2,174.80"
